step,value_loss,v_mean,q_target_mean,critic_loss,q1_mean,td_target,actor_loss,advantage_mean,exp_adv_mean,log_prob_mean
1,2.928067624452524e-05,-0.004383321851491928,-0.0013579465448856354,0.13643324375152588,0.0018817080417647958,-0.035348158329725266,1.9896827936172485,-0.03912191465497017,0.8897401690483093,-2.230741262435913
2,0.00025225774152204394,0.027347184717655182,-0.0013546703848987818,0.12384025752544403,-0.009692611172795296,-0.04060922563076019,2.0412864685058594,-0.03231605142354965,0.9089627265930176,-2.236947536468506
3,4.0422353777103126e-05,0.009684327989816666,-0.0014153565280139446,0.1283997893333435,-0.021888045594096184,-0.0739416629076004,2.0745372772216797,-0.02685144543647766,0.9253587126731873,-2.230332374572754
4,6.724119884893298e-05,-0.010600034147500992,-0.0015620114281773567,0.12579983472824097,-0.037553295493125916,-0.08331185579299927,2.033928871154785,-0.03984551876783371,0.8924779891967773,-2.265228748321533
5,0.00010507907427381724,-0.013219475746154785,-0.0015500455629080534,0.0893702432513237,-0.049958325922489166,-0.056211672723293304,1.8973222970962524,-0.0569499135017395,0.8500022292137146,-2.21132755279541
6,1.4066680705582257e-05,-0.004631776362657547,-0.0018566562794148922,0.09479986131191254,-0.05643992871046066,-0.036552637815475464,1.8578729629516602,-0.06720548868179321,0.8288629055023193,-2.2161808013916016
7,1.9199711459805258e-05,0.00483538256958127,-0.0024447981268167496,0.08483360707759857,-0.06366509199142456,-0.039533283561468124,1.7885997295379639,-0.0771661177277565,0.8098649978637695,-2.173658847808838
8,5.7450255553703755e-05,0.010732526890933514,-0.002762006828561425,0.0920308381319046,-0.06522902846336365,-0.052336372435092926,1.8229674100875854,-0.07772953808307648,0.8164608478546143,-2.1907002925872803
9,6.301899702521041e-05,0.011452045291662216,-0.0027257828041911125,0.07157830893993378,-0.05422135069966316,-0.03206607699394226,1.899829387664795,-0.06030465289950371,0.8672796487808228,-2.141233444213867
10,3.8126076105982065e-05,0.007644763216376305,-0.0031686320435255766,0.05655208230018616,-0.05106721445918083,-0.05439910292625427,1.9923056364059448,-0.05207556113600731,0.8998569250106812,-2.1613259315490723
