step,critic_loss,q1_mean,q2_mean,td_target_mean,actor_loss,bc_loss,q_pi_mean,lambda
1,0.14632529020309448,-0.009924919344484806,0.007985623553395271,-0.07198171317577362,,,,
2,0.1286274492740631,-0.028232984244823456,-0.01641535572707653,-0.05977636203169823,2.8539626598358154,0.354153573513031,-0.042875051498413086,58.30451583862305
3,0.13043710589408875,-0.04308786988258362,-0.03603668138384819,-0.0732681080698967,,,,
4,0.12861430644989014,-0.05681983754038811,-0.05309666693210602,-0.07985662668943405,2.8334872722625732,0.34738582372665405,-0.06785543262958527,36.638206481933594
5,0.09407930821180344,-0.0651940107345581,-0.06502994894981384,-0.06194131076335907,,,,
6,0.10060964524745941,-0.0672176256775856,-0.06866144388914108,-0.05208845064043999,2.674128532409668,0.3272024393081665,-0.06815533339977264,34.43495559692383
7,0.08986838907003403,-0.07125616818666458,-0.07340655475854874,-0.06109575927257538,,,,
8,0.09819315373897552,-0.07132592797279358,-0.07381337881088257,-0.0745401456952095,2.4069089889526367,0.34526294469833374,-0.07047474384307861,29.253684997558594
9,0.07697252184152603,-0.06197348237037659,-0.06580030918121338,-0.050811536610126495,,,,
10,0.061701711267232895,-0.060779981315135956,-0.06352689862251282,-0.06713198125362396,1.8690582513809204,0.3311708867549896,-0.05818699300289154,26.43008804321289
11,0.06594562530517578,-0.056777339428663254,-0.0583399273455143,-0.0745796337723732,,,,
12,0.06224091351032257,-0.051126524806022644,-0.05164853483438492,-0.06199567764997482,1.3803181648254395,0.3324071168899536,-0.05119243636727333,20.47003746032715
13,0.05514543876051903,-0.05168191343545914,-0.05082416906952858,-0.0631197839975357,,,,
14,0.04201377183198929,-0.05156427621841431,-0.04775814712047577,-0.06903022527694702,1.2955732345581055,0.3328782916069031,-0.05770731344819069,16.682373046875
15,0.039897285401821136,-0.058243267238140106,-0.05250469967722893,-0.07905317842960358,,,,
16,0.027531296014785767,-0.05580070987343788,-0.050279706716537476,-0.06493896245956421,1.3292042016983032,0.34005308151245117,-0.06829237937927246,14.484063148498535
17,0.02183365821838379,-0.05511343851685524,-0.048421815037727356,-0.05948874354362488,,,,
18,0.020684082061052322,-0.05661142244935036,-0.05113816261291504,-0.05175617337226868,1.2312474250793457,0.33091551065444946,-0.0693279355764389,12.986568450927734
19,0.01773790828883648,-0.07332246005535126,-0.06783317029476166,-0.07330046594142914,,,,
20,0.0163431279361248,-0.07896891236305237,-0.07624063640832901,-0.07068073749542236,1.4198064804077148,0.34921130537986755,-0.09049172699451447,11.830862045288086
21,0.013701417483389378,-0.07991276681423187,-0.08005478978157043,-0.07209526002407074,,,,
22,0.013949703425168991,-0.08234170079231262,-0.0855860710144043,-0.07488886266946793,1.377392292022705,0.341472864151001,-0.09137974679470062,11.33642292022705
23,0.01317618228495121,-0.0723823606967926,-0.07701849192380905,-0.06985843181610107,,,,
24,0.011480674147605896,-0.06625419855117798,-0.06927010416984558,-0.06667296588420868,1.183396816253662,0.3251022696495056,-0.07657243311405182,11.20892333984375
25,0.0109566580504179,-0.07248953729867935,-0.07268539071083069,-0.07442756742238998,,,,
26,0.010253861546516418,-0.05266794189810753,-0.052333854138851166,-0.05381195247173309,1.0904182195663452,0.3256598711013794,-0.06741844117641449,11.343459129333496
27,0.010016407817602158,-0.09007571637630463,-0.08568664640188217,-0.08704359084367752,,,,
28,0.008471479639410973,-0.07488562911748886,-0.07303915917873383,-0.07304610311985016,1.3178446292877197,0.33097895979881287,-0.08744692802429199,11.285309791564941
29,0.007653679698705673,-0.07626856863498688,-0.07414496690034866,-0.06991051882505417,,,,
30,0.007535937707871199,-0.07130369544029236,-0.06944648176431656,-0.06464774906635284,1.2534047365188599,0.3163543939590454,-0.07730935513973236,12.12078857421875
31,0.006712643429636955,-0.07411820441484451,-0.07655186951160431,-0.06890755891799927,,,,
32,0.007050723303109407,-0.0717344656586647,-0.07302626967430115,-0.06964558362960815,1.2524151802062988,0.3289136290550232,-0.07906292378902435,11.680588722229004
33,0.006423713639378548,-0.06506729125976562,-0.0680484026670456,-0.07038121670484543,,,,
34,0.005374784581363201,-0.08118288964033127,-0.08345689624547958,-0.08559131622314453,1.448156476020813,0.32099592685699463,-0.09244490414857864,12.192782402038574
35,0.0053536975756287575,-0.07461707293987274,-0.07558037340641022,-0.07829990237951279,,,,
36,0.004791539162397385,-0.0804930105805397,-0.07839233428239822,-0.079244464635849,1.4918761253356934,0.3212929964065552,-0.09153039753437042,12.789009094238281
37,0.004691247828304768,-0.08404336869716644,-0.08217743039131165,-0.08086724579334259,,,,
38,0.004270495846867561,-0.08447465300559998,-0.08430470526218414,-0.0854283794760704,1.4354790449142456,0.3227021396160126,-0.09350977838039398,11.90011215209961
39,0.004273132421076298,-0.07245923578739166,-0.07213737070560455,-0.07217927277088165,,,,
40,0.003635711967945099,-0.07084263861179352,-0.07123088836669922,-0.07141290605068207,1.255894422531128,0.3226006031036377,-0.07643986493349075,12.209516525268555
41,0.0034608999267220497,-0.0785527378320694,-0.08023388683795929,-0.08042310923337936,,,,
42,0.0035871551372110844,-0.07466832548379898,-0.07424242049455643,-0.07803905010223389,1.2741491794586182,0.3173055648803711,-0.08197684586048126,11.672121047973633
43,0.0033213570713996887,-0.08215168863534927,-0.08264906704425812,-0.08803548663854599,,,,
44,0.0034881120081990957,-0.0663745179772377,-0.06679075956344604,-0.0673951655626297,1.201818585395813,0.30863362550735474,-0.0746983140707016,11.957230567932129
45,0.0033897561952471733,-0.08395664393901825,-0.08298294246196747,-0.08553411066532135,,,,
46,0.0032157457899302244,-0.08537621796131134,-0.08396777510643005,-0.086001455783844,1.36513090133667,0.3077651262283325,-0.09130678325891495,11.580364227294922
47,0.0027215578593313694,-0.06712403148412704,-0.06567776203155518,-0.0658644512295723,,,,
48,0.0032659024000167847,-0.07981448620557785,-0.07964365184307098,-0.08018888533115387,1.291006326675415,0.3106875419616699,-0.0843857079744339,11.617117881774902
49,0.002684403443709016,-0.08655515313148499,-0.08636181056499481,-0.08897297829389572,,,,
50,0.003258288372308016,-0.07345300167798996,-0.0740211084485054,-0.07673494517803192,1.2129955291748047,0.3055291771888733,-0.07869412004947662,11.531563758850098
51,0.0023841732181608677,-0.0765303522348404,-0.07720370590686798,-0.08065120130777359,,,,
52,0.0023910014424473047,-0.07729727029800415,-0.07659928500652313,-0.07743026316165924,1.2120542526245117,0.3059964179992676,-0.08151298761367798,11.11550235748291
53,0.00242856377735734,-0.08291421830654144,-0.08249732851982117,-0.08219935745000839,,,,
54,0.0026384233497083187,-0.08133816719055176,-0.0812055915594101,-0.08030158281326294,1.266272783279419,0.3040739595890045,-0.0832766592502594,11.554243087768555
55,0.002079740399494767,-0.08971843123435974,-0.08917191624641418,-0.08957129716873169,,,,
56,0.002336977981030941,-0.10130906105041504,-0.10106262564659119,-0.10323362797498703,1.4544548988342285,0.3167914152145386,-0.10340756922960281,11.00174331665039
57,0.002095712348818779,-0.07140198349952698,-0.07083936780691147,-0.07401332259178162,,,,
58,0.0017181581351906061,-0.08001459389925003,-0.08042382448911667,-0.08138510584831238,1.2571437358856201,0.30852651596069336,-0.08332794159650803,11.384142875671387
59,0.002355347853153944,-0.08896031975746155,-0.08887636661529541,-0.08879145979881287,,,,
60,0.0020664306357502937,-0.0961790680885315,-0.09747190773487091,-0.09513399004936218,1.4020432233810425,0.3190855085849762,-0.09817886352539062,11.03045654296875
61,0.0015771599719300866,-0.08450520038604736,-0.08382827788591385,-0.08416265994310379,,,,
62,0.0017854657489806414,-0.08474577218294144,-0.08438355475664139,-0.08494353294372559,1.2778990268707275,0.3197938799858093,-0.08378002047538757,11.435962677001953
63,0.0019402664620429277,-0.07833987474441528,-0.07650198042392731,-0.07816170156002045,,,,
64,0.0025591354351490736,-0.09336168318986893,-0.0925019159913063,-0.09441211819648743,1.3836519718170166,0.3121298551559448,-0.09507936239242554,11.269765853881836
65,0.0019212618935853243,-0.07562652230262756,-0.07627054303884506,-0.07698187977075577,,,,
66,0.0018789556343108416,-0.09320393949747086,-0.09387233853340149,-0.09510575234889984,1.32355797290802,0.3251800537109375,-0.09409821033477783,10.609956741333008
67,0.0017147724283859134,-0.11955031752586365,-0.11998757719993591,-0.11875327676534653,,,,
68,0.0014804690144956112,-0.08701924979686737,-0.08695506304502487,-0.08487139642238617,1.276461124420166,0.32266873121261597,-0.08247774094343185,11.564239501953125
69,0.0018653958104550838,-0.08091243356466293,-0.08113075792789459,-0.08026188611984253,,,,
