step,actor_loss,bellman_loss,cql_gap,cql_penalty,critic_loss,entropy,log_prob_mean,q1_data_mean,q1_rand_mean,temp_loss,temperature
1,-2.0415091514587402,7.772941589355469,2.073953151702881,4.148107528686523,28.513479232788086,2.0092668533325195,-2.0092668533325195,0.0018817080417647958,0.0015737742651253939,-0.0,0.9997000694274902
2,-2.061147451400757,7.600414752960205,2.0784404277801514,4.156974792480469,28.38528823852539,1.9954779148101807,-1.9954779148101807,0.036116912961006165,0.03578128293156624,-0.0014983864966779947,0.99940025806427
3,-2.1082820892333984,7.219014644622803,2.0757484436035156,4.1516828536987305,27.97743034362793,2.0090248584747314,-2.0090248584747314,0.07060553133487701,0.07009891420602798,-0.003003204008564353,0.9991004467010498
4,-2.1292364597320557,7.027011871337891,2.0762734413146973,4.152556896209717,27.789796829223633,1.9961167573928833,-1.9961167573928833,0.1047564297914505,0.10423179715871811,-0.004532448947429657,0.9988006353378296
5,-2.1945948600769043,6.7473955154418945,2.075792074203491,4.151715278625488,27.505970001220703,2.0277187824249268,-2.0277187824249268,0.13966238498687744,0.13882537186145782,-0.006016469560563564,0.9985010027885437
6,-2.2163445949554443,6.6975603103637695,2.078772783279419,4.157655715942383,27.48583984375,2.0153515338897705,-2.0153515338897705,0.17477869987487793,0.17371390759944916,-0.007505930028855801,0.9982014298439026
7,-2.2493889331817627,6.370574951171875,2.0759711265563965,4.152327537536621,27.132213592529297,2.014908790588379,-2.014908790588379,0.20970402657985687,0.20816361904144287,-0.00901784561574459,0.997901976108551
8,-2.275055408477783,6.011272430419922,2.0768392086029053,4.154183387756348,26.782188415527344,2.006199598312378,-2.006199598312378,0.24454525113105774,0.24257946014404297,-0.010533981025218964,0.9976025819778442
9,-2.3207197189331055,6.065579891204834,2.078779697418213,4.157997131347656,26.855566024780273,2.0171775817871094,-2.0171775817871094,0.2803158760070801,0.27808475494384766,-0.012112056836485863,0.9973032474517822
10,-2.3447279930114746,5.632086277008057,2.07896089553833,4.158389568328857,26.424034118652344,2.007023811340332,-2.007023811340332,0.31604060530662537,0.31316259503364563,-0.013612750917673111,0.9970039129257202
11,-2.417059898376465,5.506058216094971,2.07387113571167,4.148380279541016,26.24795913696289,2.0444083213806152,-2.0444083213806152,0.352182537317276,0.3486369252204895,-0.015082910656929016,0.9967045783996582
12,-2.44612979888916,5.245476722717285,2.0720696449279785,4.144752502441406,25.96923828125,2.0387473106384277,-2.0387473106384277,0.388035386800766,0.3840325176715851,-0.01662861555814743,0.9964054226875305
13,-2.488380193710327,5.16957426071167,2.071378231048584,4.143805503845215,25.88860321044922,2.0464587211608887,-2.0464587211608887,0.42414116859436035,0.41925010085105896,-0.018124833703041077,0.9961062669754028
14,-2.5129213333129883,4.795868873596191,2.0713391304016113,4.143665790557861,25.514198303222656,2.03486967086792,-2.03486967086792,0.46124792098999023,0.45558080077171326,-0.019705332815647125,0.9958071112632751
15,-2.5495495796203613,4.616259574890137,2.0707268714904785,4.142682075500488,25.329669952392578,2.0363051891326904,-2.0363051891326904,0.4977189898490906,0.49128562211990356,-0.021216655150055885,0.995508074760437
16,-2.590196371078491,4.410726547241211,2.066901683807373,4.135524749755859,25.088350296020508,2.0416224002838135,-2.0416224002838135,0.5352205038070679,0.527570903301239,-0.022754570469260216,0.9952090382575989
17,-2.621849536895752,4.196774005889893,2.0678977966308594,4.137423515319824,24.883892059326172,2.0363574028015137,-2.0363574028015137,0.573356032371521,0.5645741820335388,-0.024234898388385773,0.9949100613594055
18,-2.673184394836426,4.096423625946045,2.0638694763183594,4.129482269287109,24.74383544921875,2.0515246391296387,-2.0515246391296387,0.610192060470581,0.6005129814147949,-0.0257466621696949,0.9946110844612122
19,-2.713092803955078,3.7209413051605225,2.0697855949401855,4.141816139221191,24.430021286010742,2.055183172225952,-2.055183172225952,0.6490823030471802,0.6378912925720215,-0.02731861174106598,0.9943122267723083
20,-2.7432973384857178,3.6268131732940674,2.0681862831115723,4.138471603393555,24.319171905517578,2.0512499809265137,-2.0512499809265137,0.6850697994232178,0.6730304956436157,-0.02878076210618019,0.9940135478973389
21,-2.771383285522461,3.393535614013672,2.06284761428833,4.128666877746582,24.036869049072266,2.0410783290863037,-2.0410783290863037,0.7249859571456909,0.7111682295799255,-0.030304308980703354,0.9937148690223694
22,-2.810053825378418,3.195554256439209,2.059715747833252,4.122319221496582,23.80714988708496,2.04353666305542,-2.04353666305542,0.7620953917503357,0.7474259734153748,-0.031879350543022156,0.9934161901473999
23,-2.838996410369873,3.0812177658081055,2.057547092437744,4.1185479164123535,23.67395782470703,2.0362486839294434,-2.0362486839294434,0.8010846972465515,0.7842920422554016,-0.033298246562480927,0.9931176900863647
24,-2.8870134353637695,2.9754440784454346,2.0615382194519043,4.126499176025391,23.607940673828125,2.0475196838378906,-2.0475196838378906,0.8396111726760864,0.8217611312866211,-0.034932222217321396,0.9928191900253296
25,-2.930367946624756,2.6928277015686035,2.0594022274017334,4.121482849121094,23.300241470336914,2.0518505573272705,-2.0518505573272705,0.8784072995185852,0.8603873252868652,-0.036366626620292664,0.9925208687782288
26,-2.954348087310791,2.638817310333252,2.0567617416381836,4.117478847503662,23.226211547851562,2.040581226348877,-2.040581226348877,0.9177721738815308,0.8968943953514099,-0.03777126222848892,0.9922227263450623
27,-2.9966907501220703,2.3770999908447266,2.0579042434692383,4.1192755699157715,22.973478317260742,2.0442113876342773,-2.0442113876342773,0.9567433595657349,0.9351682662963867,-0.03944731503725052,0.9919245839118958
28,-3.040241241455078,2.2920572757720947,2.0500268936157227,4.104681968688965,22.815467834472656,2.053403854370117,-2.053403854370117,0.995356559753418,0.971164882183075,-0.040917955338954926,0.9916265606880188
29,-3.063082695007324,2.114872694015503,2.052269697189331,4.109572410583496,22.662734985351562,2.038637638092041,-2.038637638092041,1.0353963375091553,1.0088351964950562,-0.0425073578953743,0.9913285970687866
30,-3.1075491905212402,2.0290937423706055,2.0493805408477783,4.103781700134277,22.548004150390625,2.0458662509918213,-2.0458662509918213,1.0740351676940918,1.0458316802978516,-0.04393394663929939,0.9910306930541992
31,-3.146444320678711,1.875726580619812,2.0462229251861572,4.0985002517700195,22.368227005004883,2.051041603088379,-2.051041603088379,1.1117092370986938,1.080691933631897,-0.04552065581083298,0.9907329082489014
32,-3.1818461418151855,1.7920901775360107,2.04685378074646,4.099353790283203,22.28885841369629,2.0455315113067627,-2.0455315113067627,1.1515510082244873,1.1208877563476562,-0.047026947140693665,0.9904352426528931
33,-3.216961145401001,1.5931804180145264,2.0393080711364746,4.086545467376709,22.025907516479492,2.049093723297119,-2.049093723297119,1.192645788192749,1.1547437906265259,-0.04856647178530693,0.9901376366615295
34,-3.264739513397217,1.4766149520874023,2.0387930870056152,4.0857038497924805,21.905136108398438,2.0605382919311523,-2.0605382919311523,1.2301371097564697,1.1913349628448486,-0.05008795112371445,0.9898401498794556
35,-3.296287775039673,1.3534518480300903,2.0348236560821533,4.077658176422119,21.741743087768555,2.0580437183380127,-2.0580437183380127,1.2683637142181396,1.2278145551681519,-0.05145755410194397,0.9895427227020264
36,-3.3186750411987305,1.2621245384216309,2.0345611572265625,4.0782880783081055,21.653566360473633,2.043907880783081,-2.043907880783081,1.3082036972045898,1.2628101110458374,-0.053090713918209076,0.9892453551292419
37,-3.3574960231781006,1.1515169143676758,2.0326547622680664,4.075736045837402,21.530197143554688,2.047541618347168,-2.047541618347168,1.3479371070861816,1.2997678518295288,-0.05465797334909439,0.9889481067657471
38,-3.3912575244903564,1.0800892114639282,2.0208969116210938,4.054093837738037,21.35055923461914,2.053678274154663,-2.053678274154663,1.3844714164733887,1.328599214553833,-0.05601216107606888,0.9886510372161865
39,-3.4253053665161133,1.009907841682434,2.0214900970458984,4.0552449226379395,21.2861328125,2.0520572662353516,-2.0520572662353516,1.4232944250106812,1.3679962158203125,-0.05770253390073776,0.988353967666626
40,-3.454146385192871,0.9481544494628906,2.0160646438598633,4.046507358551025,21.18069076538086,2.052513360977173,-2.052513360977173,1.4606813192367554,1.3946605920791626,-0.05910898745059967,0.9880570769309998
41,-3.4827675819396973,0.8671972155570984,2.0128591060638428,4.040535926818848,21.069875717163086,2.0467984676361084,-2.0467984676361084,1.4994142055511475,1.4311643838882446,-0.06056678295135498,0.9877602458000183
42,-3.5173826217651367,0.7627071142196655,2.0028469562530518,4.023009300231934,20.87775421142578,2.0548768043518066,-2.0548768043518066,1.5365855693817139,1.4596055746078491,-0.06219290941953659,0.9874635338783264
43,-3.5540263652801514,0.658196747303009,2.001783609390259,4.021563529968262,20.766016006469727,2.053220748901367,-2.053220748901367,1.5738129615783691,1.4946106672286987,-0.06371605396270752,0.9871669411659241
44,-3.563767194747925,0.6822720766067505,1.9910674095153809,4.003091335296631,20.697729110717773,2.0427587032318115,-2.0427587032318115,1.6099252700805664,1.5195906162261963,-0.06516581773757935,0.9868703484535217
45,-3.605517864227295,0.5289646983146667,1.9886677265167236,3.9966447353363037,20.512187957763672,2.050558567047119,-2.050558567047119,1.647423267364502,1.557005524635315,-0.06675902009010315,0.9865739941596985
46,-3.6220240592956543,0.5191471576690674,1.978844404220581,3.9806556701660156,20.422426223754883,2.0475966930389404,-2.0475966930389404,1.6809861660003662,1.5777686834335327,-0.06826243549585342,0.9862776398658752
47,-3.653762102127075,0.4625660181045532,1.9695672988891602,3.9655561447143555,20.290348052978516,2.0525779724121094,-2.0525779724121094,1.7208234071731567,1.607235312461853,-0.06979937851428986,0.9859813451766968
48,-3.6787590980529785,0.46493005752563477,1.9622557163238525,3.95141339302063,20.221996307373047,2.052273988723755,-2.052273988723755,1.7484759092330933,1.6309422254562378,-0.07121747732162476,0.9856851696968079
49,-3.686465263366699,0.4129626750946045,1.9502310752868652,3.9282801151275635,20.054363250732422,2.0516581535339355,-2.0516581535339355,1.7777767181396484,1.643367052078247,-0.0726376324892044,0.985389232635498
50,-3.706239700317383,0.40465041995048523,1.9387590885162354,3.9093432426452637,19.951366424560547,2.0562775135040283,-2.0562775135040283,1.8116395473480225,1.6654942035675049,-0.07430142909288406,0.9850932955741882
51,-3.737490177154541,0.34163230657577515,1.9377086162567139,3.905998468399048,19.871625900268555,2.0547943115234375,-2.0547943115234375,1.8457458019256592,1.696706771850586,-0.07569283246994019,0.984797477722168
52,-3.7476861476898193,0.3602926731109619,1.9282554388046265,3.889307975769043,19.806833267211914,2.0536608695983887,-2.0536608695983887,1.8673572540283203,1.7091213464736938,-0.07748569548130035,0.9845017194747925
53,-3.7570862770080566,0.3053135871887207,1.91818368434906,3.870028495788574,19.65545654296875,2.0452370643615723,-2.0452370643615723,1.8987724781036377,1.7304378747940063,-0.07904276251792908,0.9842060804367065
54,-3.7713444232940674,0.29549622535705566,1.8937278985977173,3.8269858360290527,19.4304256439209,2.0590274333953857,-2.0590274333953857,1.9280564785003662,1.7313915491104126,-0.08028136938810349,0.9839105010032654
55,-3.7790451049804688,0.22672699391841888,1.881454348564148,3.804210662841797,19.247779846191406,2.055553674697876,-2.055553674697876,1.9616256952285767,1.7578659057617188,-0.08192245662212372,0.9836150407791138
56,-3.745638847351074,0.23621977865695953,1.8648536205291748,3.7734580039978027,19.1035099029541,2.0366101264953613,-2.0366101264953613,1.9733853340148926,1.7436084747314453,-0.08321087062358856,0.9833196401596069
57,-3.7826313972473145,0.21922747790813446,1.8487645387649536,3.747535228729248,18.9569034576416,2.0490589141845703,-2.0490589141845703,2.016218662261963,1.7656923532485962,-0.08499559760093689,0.9830242991447449
58,-3.7763636112213135,0.2594664692878723,1.8410618305206299,3.7321395874023438,18.920164108276367,2.051633358001709,-2.051633358001709,2.019479751586914,1.7624839544296265,-0.0864374190568924,0.9827291965484619
59,-3.746638536453247,0.2330702394247055,1.828428030014038,3.7102713584899902,18.784427642822266,2.0418624877929688,-2.0418624877929688,2.0375959873199463,1.7636181116104126,-0.08801338076591492,0.9824340343475342
60,-3.741762161254883,0.24279333651065826,1.8006134033203125,3.6578071117401123,18.531829833984375,2.0567150115966797,-2.0567150115966797,2.0452818870544434,1.7430371046066284,-0.08936202526092529,0.9821390509605408
61,-3.7616539001464844,0.2915187478065491,1.7980924844741821,3.6490283012390137,18.53666114807129,2.0520710945129395,-2.0520710945129395,2.0685577392578125,1.7546371221542358,-0.09093301743268967,0.9818441271781921
62,-3.727540969848633,0.22417673468589783,1.7594904899597168,3.5809130668640137,18.128742218017578,2.051187038421631,-2.051187038421631,2.0956037044525146,1.7389729022979736,-0.09267658740282059,0.9815492630004883
63,-3.726016044616699,0.26625877618789673,1.7371424436569214,3.537565231323242,17.954084396362305,2.0593550205230713,-2.0593550205230713,2.1103105545043945,1.7267038822174072,-0.09388386458158493,0.9812545776367188
64,-3.7145137786865234,0.23677057027816772,1.733565092086792,3.5342636108398438,17.90808868408203,2.045684337615967,-2.045684337615967,2.1194205284118652,1.7246932983398438,-0.09528007358312607,0.9809600710868835
65,-3.6807785034179688,0.2671266198158264,1.6951990127563477,3.4618897438049316,17.576574325561523,2.0455451011657715,-2.0455451011657715,2.131681442260742,1.6967540979385376,-0.09728093445301056,0.9806655645370483
66,-3.6646177768707275,0.2819363474845886,1.6872261762619019,3.4477195739746094,17.52053451538086,2.0543367862701416,-2.0543367862701416,2.125899314880371,1.6801849603652954,-0.09849293529987335,0.9803711175918579
67,-3.657837390899658,0.31152552366256714,1.666891098022461,3.4076366424560547,17.349708557128906,2.053291082382202,-2.053291082382202,2.121856212615967,1.6486316919326782,-0.10009981691837311,0.980076789855957
68,-3.6398282051086426,0.28710252046585083,1.655198097229004,3.3801522254943848,17.187862396240234,2.046415328979492,-2.046415328979492,2.146536350250244,1.6588588953018188,-0.10150061547756195,0.9797825813293457
69,-3.6410694122314453,0.3190809488296509,1.6243513822555542,3.3228511810302734,16.93333625793457,2.0546979904174805,-2.0546979904174805,2.1667513847351074,1.634905219078064,-0.10298560559749603,0.9794883728027344
70,-3.596846342086792,0.3380599617958069,1.606725811958313,3.2911767959594727,16.793943405151367,2.0381407737731934,-2.0381407737731934,2.182676076889038,1.631399154663086,-0.10457765311002731,0.9791944026947021
71,-3.584077835083008,0.3595118522644043,1.5869179964065552,3.2525243759155273,16.622135162353516,2.0300097465515137,-2.0300097465515137,2.202129602432251,1.6228166818618774,-0.10586534440517426,0.9789006114006042
72,-3.5502700805664062,0.3740036189556122,1.5689353942871094,3.2178497314453125,16.463253021240234,2.0359127521514893,-2.0359127521514893,2.1940009593963623,1.5831190347671509,-0.10737952589988708,0.9786068797111511
73,-3.5212392807006836,0.3941946029663086,1.549269199371338,3.184177875518799,16.315082550048828,2.0230937004089355,-2.0230937004089355,2.2006850242614746,1.5665289163589478,-0.10892650485038757,0.9783132076263428
74,-3.544297456741333,0.42574912309646606,1.5130736827850342,3.1049745082855225,15.950621604919434,2.03584885597229,-2.03584885597229,2.222203254699707,1.5496127605438232,-0.11030159145593643,0.9780198335647583
75,-3.4779162406921387,0.435049831867218,1.4761183261871338,3.0380330085754395,15.625214576721191,2.043471336364746,-2.043471336364746,2.2198891639709473,1.4903055429458618,-0.11170324683189392,0.9777265191078186
76,-3.5189764499664307,0.44731172919273376,1.4967819452285767,3.0671277046203613,15.782949447631836,2.0297021865844727,-2.0297021865844727,2.227659225463867,1.524466872215271,-0.11351273953914642,0.9774333834648132
77,-3.468430995941162,0.4234272241592407,1.4334636926651,2.9518251419067383,15.1825532913208,2.0222721099853516,-2.0222721099853516,2.275655746459961,1.494491457939148,-0.11505115032196045,0.9771402478218079
78,-3.4837493896484375,0.4413168430328369,1.4393541812896729,2.956109046936035,15.221861839294434,2.0347843170166016,-2.0347843170166016,2.2693352699279785,1.4898836612701416,-0.11648964881896973,0.9768472909927368
79,-3.48568058013916,0.5106397867202759,1.460111141204834,2.990967273712158,15.465476036071777,2.0364723205566406,-2.0364723205566406,2.2584571838378906,1.4937132596969604,-0.11755841970443726,0.9765544533729553
80,-3.37841534614563,0.5049377679824829,1.3397245407104492,2.768362283706665,14.346749305725098,2.037614345550537,-2.037614345550537,2.305251121520996,1.3964704275131226,-0.11854463815689087,0.9762619733810425
81,-3.3733584880828857,0.5344519019126892,1.3395159244537354,2.765260696411133,14.36075496673584,2.017941951751709,-2.017941951751709,2.3163914680480957,1.406496286392212,-0.12050142884254456,0.9759697318077087
82,-3.4140939712524414,0.5720312595367432,1.3302820920944214,2.7391738891601562,14.267900466918945,2.0126986503601074,-2.0126986503601074,2.3387370109558105,1.400712251663208,-0.12191419303417206,0.975677490234375
83,-3.3918018341064453,0.5926756858825684,1.3034650087356567,2.6903457641601562,14.044404983520508,2.0058512687683105,-2.0058512687683105,2.3600430488586426,1.3926327228546143,-0.12316817045211792,0.9753856062889099
84,-3.3958590030670166,0.6573435664176941,1.3548985719680786,2.7814197540283203,14.56444263458252,2.0156190395355225,-2.0156190395355225,2.3194313049316406,1.3952425718307495,-0.12489532679319382,0.9750939011573792
85,-3.3561599254608154,0.7326617240905762,1.2823665142059326,2.6431851387023926,13.948587417602539,2.0036449432373047,-2.0036449432373047,2.343433380126953,1.319311499595642,-0.12601003050804138,0.9748023748397827
